Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q3,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q8,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q12,Q16
Moderately important,Moderately important,Very important,Moderately important,Moderately important,Offer guidance to difficult choices ,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Communication with the teacher and students ,Moderately important,Moderately important,Moderately important,Moderately important,Very important,Very important,Very important,Offering simple but effective activities ,
Very important,Extremely important,Very important,Very important,Very important,Get to know their students and assist in any way to feel supported and successful.,Very important,Extremely important,Extremely important,Extremely important,Very important,"Going over assignment details, and expectations in the class. ",Very important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Allow students to engage with one another and use real life problems and scenarios within their teaching,
Moderately important,Extremely important,Extremely important,Very important,Extremely important,"by using a variety of teaching methods. Many of the student's pace are different, therefore it would be helpful if the professor can look for ways in which the student can grasp information to make the course more interesting. ",Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,clearing student expectations.,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,by making the class more interactive and relative class materials to students' lives.,N/A
Very important,Extremely important,Moderately important,Moderately important,Moderately important,Make sure that everyone has their own lives. Sometimes i may not bee 100% active and focused in class. Understand that we are all doing our best ,Extremely important,Extremely important,Extremely important,Moderately important,Extremely important,The grading system. I dont want to have to be tabulating what my 83% does for my overall grade. Make it make sense on Canvas ,Moderately important,Very important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Ensure that we are following a good schedule. I need to know what is going to be covered ,
Moderately important,Extremely important,Moderately important,Moderately important,Not at all important,be passionate about Engineering.,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,a syllabus that details course from start to finish on the first day.,Very important,Extremely important,Slightly important,Extremely important,Very important,Extremely important,Very important,to relate the learning to the real world.,
Very important,Very important,Very important,Very important,Extremely important,Asking how we are doing in the class,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Knowledge of how to use school classwork system,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Group activities,
Not at all important,Extremely important,Extremely important,Extremely important,Extremely important,Care for the actual class and it’s the small things too like not coming late or taking 28 business days to grade assignments.,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Pacing and teaching of the material a lot of the classes I took fell behind on teaching certain topics.,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,"In civil engineering, real world examples and problems. One class I disliked for this was CE 2120 matrix algebra where in the syllabus it stated we would apply linear algebra to real world civil engineering problems but never once did we do that.",
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,"Catch cheaters and if so, actually go through the punishment. A few have graduated by mere luck but there is still an opportunity to weed out more.",Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,"Homework and passion by the professors, which is shown there is no doubt there. Sonya, Khodayari, Mehdi, Sean, Williams. They all show passion in their work which in turn keeps discipline and structure.",Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Offer homework based on examples from the real word or historical events,"Yea, it is called integrity. Only because nepotism exists, it doesn't mean we can be better than that and have morals. No more favors for kids who kiss their appointment just to be magically moved from the back of the waitlist to the front. Look I would get it if it was for actually gifted individuals. But no, these kids didnt know what a shear and moment diagram were as SENIORS! "
Extremely important,Extremely important,Extremely important,Very important,Very important,Being flexible,Moderately important,Extremely important,Extremely important,Extremely important,Extremely important,A objective rather than subjective grading criteria & clear expectations,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Very important,To have project based assessments that prepare for senior design and employment,"Clear expectations & grading rubrics, group learning, & flexibility"
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,
Extremely important,Very important,Very important,Extremely important,Very important,,Very important,Very important,Very important,Very important,Very important,,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,
Moderately important,Very important,Very important,Moderately important,Moderately important,Do not ever belittle someone or accuse them of not caring/paying attention when they ask a question you think they should have already known the answer to ,Very important,Very important,Very important,Very important,Very important,Feedback on assignment or test questions/problems that we got wrong and how they should have been answered ,Moderately important,Very important,Slightly important,Moderately important,Very important,Extremely important,Moderately important,,
Moderately important,Very important,Very important,Very important,Very important,appear welcoming and to allow questions being asked without feeling judged ,,,,,,Transparency of what we are learning and why and to have opportunities to understand the material at a decent pace ,Very important,Very important,Extremely important,Very important,Very important,Very important,Very important,Sound excited and to speak clearly. To speak and explain what we are learning and how we can use it for future classes and the real world ,Adding more students to classes would be helpful to allow a sense of community 
Moderately important,Extremely important,Extremely important,Moderately important,Slightly important,finding connections or career/internship opportunities for us.,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,"lecturing on the most practical and real-world lessons, and providing the assignments and activities.",Very important,Extremely important,Moderately important,Extremely important,Moderately important,Extremely important,Extremely important,doing in-class activities or sharing examples of real-world applications.,It's important that the lectures and lessons taught are close to the real world so we can directly apply these lessons when we transition from school to career.
Moderately important,Very important,Slightly important,Moderately important,,,Extremely important,Extremely important,Very important,Very important,Very important,,,,,,,,,,
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,support and issue guidance when I am incorrect. ,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,proper communication between students and professors. ,Very important,Extremely important,Very important,Extremely important,Very important,Extremely important,Extremely important,to provide opportunities to interact with other students in order to see different perspectives. ,I feel it is important that a student should feel safe when communication with professor regarding issues that may happen externally to students. 
Very important,Extremely important,Extremely important,Extremely important,Extremely important,he always make sure that we understands what we are learning before moving on,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,,
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,have offices hours and really wanting to keep the class engaged.,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,to have a schedule.,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,keep in entertaining.,
Very important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,
Moderately important,Very important,Very important,Slightly important,Slightly important,to be prepared and crack jokes.,Extremely important,Extremely important,Extremely important,Extremely important,Moderately important,"problems solved from start to finish, meets the syllabus timeframe, and time for questions. ",Moderately important,Extremely important,Moderately important,Moderately important,Very important,Extremely important,Moderately important,"show visual aids, crack jokes, and spare time for questions. ",I feel that teachers shouldn't bring down students for not knowing material they already learned previously. Teachers can send a Canvas announcement to let students know if previous material is going to be covered. The teacher has to break the ice first if there is going to be a comfortable environment. 
Extremely important,Extremely important,Extremely important,Extremely important,Very important,"to be approachable, provide clear and constructive feedback, and create an encouraging learning environment. ",Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,"clear communication, variety of engaging learning activities, and well-defined objectives. ",Very important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,having group projects and hands-on activities,be kind and treat others with respect.
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,"I think not assuming that the student is an expert in previous subjects or prerequisites for the course because one could always continue to learn and be more skilled than what he learned in class. Also, not every professor puts in the same effort to teach student so some may have missed out on a valuable learning experience. I also think intimidation is also not a good way of teaching student as it can cause confrontations and a violent/ hostile learning environment."
Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,"knowing what kind of background knowledge, the students have and change the class structure based on it",Very important,Moderately important,Moderately important,Moderately important,Moderately important,when the teacher provides and takes feedback from others,Moderately important,Extremely important,Very important,Very important,Very important,Very important,Very important,providing how am handling the class and any steps to improve myself,"To create a healthy environment teacher, students have to work together, make new decisions regarding what every one feels comfortable with. "
Not at all important,Moderately important,Extremely important,Moderately important,Slightly important,Understand certain impediments I may have like a busy schedule and not to trip on anything. Knowing that I’m working on the class with good faith. If I miss an assignment or lecture I appreciate if they don’t use it against me and know that I’m in good faith and will catch up,Very important,Extremely important,Not at all important,Slightly important,Very important,Late work acceptance,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Stories,N/A
Moderately important,Extremely important,Extremely important,Extremely important,Extremely important,by being relatable and approachable.,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,well written notes/lectures and supplemental videos to help with confusing topics. ,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,"more examples, both conceptual and real world. ","Allowing students to take a photo of the notes on the board, sometimes I can't write fast enough."
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,help with anything that is difficult for the students,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,an organized course structure for everyone to follow.,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,show he is also interested in the subject as well.,Where everyone respects each other's questions and responses. 
Very important,Very important,Very important,Not at all important,Very important,ask me questions of reasurrance,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,the teacher,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,be passionate,
Moderately important,Very important,Extremely important,Very important,Very important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,
Moderately important,Very important,Very important,Very important,Very important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,
Very important,Very important,Very important,Very important,Very important,Do one on one and connect with one another ,Very important,Very important,Very important,Very important,Very important,Communication ,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Less homework ,
Very important,Very important,Very important,Very important,Very important,is by making sure that everyone in the class including myself understands what is being taught and makes sure to go over it again by doing examples if someone does not understand it. ,Very important,Extremely important,Extremely important,Extremely important,Extremely important,"the professor teaching topics in class that align with what we will be doing experiencing real-life out of class environment such as when we graduate and work in the industry. Also a well organized and well-structured class is when the professor assigns, assignments that we all understand meaning the professor has to have taught what is being assigned. Also to have a good grading criteria. ",Very important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Very important,"by making projects/assignments where students interact with each other, also by implementing real world civil engineering problems to the class such as sharing real life experiences working in the industry. ","Overall I think a healthy classroom environment and experience is: promoting active listening and constructive feedback among students, Encouraging group work and collaboration to build teamwork skills, Providing feedback on assignments to help students understand their progress. "
Very important,Extremely important,Extremely important,Extremely important,Extremely important,have office hours and provide aid outside of class,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,getting feedback at a considerate time frame,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,to lecture to every student and not just speak in one tone,
Very important,Extremely important,Extremely important,Very important,Very important,,Extremely important,Extremely important,Extremely important,Very important,Extremely important,"communication, professionalism, respect for each other, and enjoyment of learning in the class. The mood and vibe of the class also increases the indication of learning from student and teachers",Very important,Extremely important,Extremely important,Very important,Very important,Extremely important,Moderately important,,
Moderately important,Very important,Extremely important,Moderately important,Very important,Be a available in class and in some capacity out of class to answer questions and spur excitement in their field ,Very important,Very important,Extremely important,Extremely important,Very important,Transparency in the professor's handling of all paperwork and course planning,Extremely important,Very important,Moderately important,Very important,Extremely important,Very important,Very important,"Create opportunities to discuss and apply knowledge gained in projects, either solo or in groups. ",Understanding boundaries and being able to read a room is also important for a professor to be able to effectively communicate with a group of students 
Very important,Extremely important,,Extremely important,Extremely important,Give me positive feedback,Extremely important,Very important,Extremely important,Extremely important,Very important,Communication,Moderately important,Extremely important,Moderately important,Extremely important,Moderately important,Extremely important,Moderately important,to go over in-class examples similar to the homework/ exam,Encouraging students to go over assignments during class 
Moderately important,Moderately important,Very important,Moderately important,Moderately important,,Very important,Very important,Very important,Very important,Very important,,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,
Slightly important,Extremely important,Very important,Slightly important,Slightly important,"help me understand many of the homework assignments and quizzes, whether I get them right or not so I will be able to learn from them and gain knowledge for future assignments and quizzes.",Very important,Extremely important,Extremely important,Extremely important,Slightly important,to help every student understand all of the assignment and quizzes and can help students when they are having trouble understanding them.,Not at all important,Slightly important,Extremely important,Not at all important,Extremely important,Extremely important,Moderately important,help me step by step on certain assignments and quizzes and is willing to help me in class or office hours so I can understand what to do,
Moderately important,Extremely important,Extremely important,Very important,Very important,"Being kinds, understanding, patient, and supportive",Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Thorough explanation of example problems that will help us complete our assignments as well as exams being one the material covered in class,Extremely important,Extremely important,Very important,Extremely important,Very important,Extremely important,Very important,Having in-class practice on the topics covered ,Professors shouldn't make the students feel incompetent nor should they talk down to students since the first day of the semester.
Extremely important,Very important,Moderately important,Extremely important,Very important,having a great feed back on errors made in clas,Moderately important,Very important,Extremely important,Very important,Very important,having a visual representation of the material.,Moderately important,Extremely important,Very important,Moderately important,Extremely important,Slightly important,Slightly important,having a class exercise where the whole class makes a solution ,
Slightly important,Extremely important,Extremely important,Moderately important,Slightly important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Very important,Very important,Not at all important,Very important,Moderately important,Very important,Moderately important,,
Very important,Very important,Very important,Very important,Very important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,
Moderately important,Moderately important,Very important,Slightly important,Moderately important,be able to respond asap when I ask,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Grade completion,Moderately important,Moderately important,Very important,Very important,Moderately important,Moderately important,Moderately important,Talk about interesting topics,
Extremely important,Extremely important,Extremely important,Extremely important,Very important,Help me with any questions I have and makes learning easy for me,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,
Moderately important,Very important,Very important,Very important,Very important,do daily check-ins with the homework or if anyone needs help with anything. ,Very important,Very important,Extremely important,Extremely important,Very important,being provided information that can help us throughout the course,Extremely important,Extremely important,Very important,Extremely important,Very important,Extremely important,Extremely important,being organized and showing us good vibes throughout teaching us. ,
Moderately important,Very important,Extremely important,Moderately important,Not at all important,helping make sure the students thoroughly understand the concept material,Extremely important,Extremely important,Extremely important,Extremely important,Moderately important,knowing what to expect with assignments and lessons with no surprise quizzes or disorderly lessons.,Very important,Very important,Moderately important,Very important,Very important,Extremely important,Extremely important,"have class group games, conduct in-class experiments, and relate the concepts to the real world.",
Moderately important,Extremely important,Extremely important,Very important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Moderately important,Very important,Moderately important,Extremely important,Very important,Extremely important,Extremely important,,
Moderately important,Extremely important,Extremely important,Slightly important,Slightly important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,,
Extremely important,Very important,Very important,Very important,Moderately important,,Extremely important,Extremely important,Very important,Very important,Extremely important,,Moderately important,Very important,Very important,Very important,Very important,Very important,Very important,,
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Very important,Extremely important,Moderately important,Extremely important,Very important,Extremely important,Extremely important,,
Not at all important,Very important,Not at all important,Slightly important,Not at all important,encouraging us to ask questions.,Moderately important,Extremely important,Very important,Very important,Very important,"having a set agenda for what we do each week, how much time we spend on the topic, and what the assignment will be",Very important,Extremely important,Moderately important,Extremely important,Extremely important,Very important,Very important,show us how to do a problem with the concept we have learned and sound exciting.,
Moderately important,Slightly important,Not at all important,Slightly important,Not at all important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Very important,Very important,Very important,Very important,Extremely important,Very important,,
Extremely important,Extremely important,Very important,Extremely important,Moderately important,Talk with me ,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Stay quite ,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Explain with real life examples,When a student feels free to ask any questions 
Slightly important,Very important,Very important,Very important,Extremely important,to understand that sometimes it is difficult for someone to keep pace with the whole class.,Extremely important,Very important,Extremely important,Extremely important,Extremely important,the perfection and grip of each student in that course.,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,through exempting unnecessary hard exams and therefore exam pressure from his respective course.,"A healthy classroom is a place where student learn and gain knowledge through flexible and easy approach, I think exams cause distress sometimes and give birth to the urge of doing more."
Moderately important,Very important,Very important,Very important,Very important,,Very important,Very important,Very important,Very important,Very important,,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,
Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,them having fun,Very important,Very important,Moderately important,Very important,Moderately important,clear explanation for assignments.,Very important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,1 on 1 conversation,nothing I can think of
Moderately important,Extremely important,Extremely important,Very important,Slightly important,help me in any way they can if I am struggling with course materials or concepts. ,Extremely important,Extremely important,Very important,Extremely important,Extremely important,"knowing what, when, and how assignments need to be completed",Moderately important,Moderately important,Very important,Extremely important,Extremely important,Extremely important,Very important,try different teaching methods and provide us with as much real-world applications as possible. ,It is important to feel like I can ask my professors anything and to know they treat everyone fairly.  
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,"For some more work intense assignments, I wish some professors would give us more time to complete them. This is so critical when we work and go to school full-time."
Very important,Very important,Very important,Very important,Very important,"The most important thing(s) my professor can do to make me feel supported is... feeling free to help us anytime we want, whether it's homework, assignments or projects we do. ",Very important,Very important,Very important,Very important,Very important,"The most important feature(s) of a well-organized and well-structured class is...clear rules and expectations, and established routines for student work.",Very important,Very important,Very important,Very important,Very important,Very important,Very important,"Use storytelling, Technology or any other activities they deserve. ",n/a
Very important,Extremely important,Extremely important,Very important,Extremely important,Being patient And understanding that we all learn differently and by taking the time to understand that and by supplementing us with different methods and tools for learning,,,,,,Clear and concise agenda for the day ,Extremely important,Extremely important,Extremely important,Very important,Very important,Extremely important,Very important,Humor,"A professor that does that nag us and say things like “you guys are illiterate”, when we’re all putting our best foot forward to be talked down on when we have questions "
Moderately important,Extremely important,Very important,Extremely important,Moderately important,Convey to the class that he understands late assignments and will reopen them if we need more time only if we ask him to and also try’s to get the class to participate often and also allows us to work on hw in class so if we need help he can help us . ,Very important,Extremely important,Extremely important,Very important,Extremely important,A class syllabus and canvas website that is well organized and that has all due dates posted for all assignments the student is expected to do along with extra help sections in case we struggle with anything.,Very important,Moderately important,Extremely important,Extremely important,Moderately important,Extremely important,Moderately important,To interact with the students and take the time to care for their students by checking in .,A professional professor that does not let ego get in the way how some STEM professors do and doesn’t expect their students to already know everything. 
Moderately important,Moderately important,Very important,Moderately important,Slightly important,,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,,Slightly important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,,
Extremely important,Very important,Extremely important,Extremely important,Extremely important,,Extremely important,Very important,Moderately important,Extremely important,Moderately important,,Very important,Extremely important,Very important,Very important,Moderately important,Very important,Moderately important,,
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,The most important things my professor can do to make me feel supported is if he/she would provide more office hours for us to go.,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,The most important festures of a well-organized and well-structured class is when there is a professor who explains everything well as well as everything to have a nice flow.,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,"The most important thing my professor can do to make the course exciting, engaging, and interactive for me is to do plenty of activities regarding solving problems and doing recapitulations on our notes to better prepare for quizzes and exams.",n/a
