Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q4_1,Q27,Q28,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q9_1,Q29,Q30,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q13_1,Q31,Q32,Q14,Q15,Q16
Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat agree,,boring,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,,,Neutral,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Strongly agree,Neutral,Somewhat agree,Neutral,Somewhat agree,,,giving more example,,
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,I had one professor learn everybody names. He would greet everyone walking in. This small effort made me feel like I was apart of the class and made me more comfortable to ask question. ,lack of collaborations ,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Most classes had very simple class structure to follow, such as class grades and assignment due dates. ",Sometimes professor don't upload everything on canvas. Also some professor don't upload grades until grades are due. ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,when the professor shared personal work experience. They showed us an insight of the real work experience. ,"One thing to make the class more engaging is to provide more real life examples/ pictures. When the classes are just straight calculation the whole period, it tends to make the class very boring and makes it hard to retain information. while in other classes, some professor showed pictures, shared experiences/ stories, and gave advices, these type of things make the class more engaging ",know what was expected of me and knowing I can ask for help if needed. ,Provided more resource to learn from,
Somewhat agree,Somewhat disagree,Neutral,Neutral,Neutral,Neutral,assigning homework correlating to the course material / lectures. Enough time was given to complete these assignments and making these assignments effort based made my learning experience a lot better because I was able to take time in understanding the process rather than memorizing the steps to answer a question. Reviewing the homework questions in class to make sure we got the right answer also helped correct my mistakes and learn.  ,"It was sometimes hard to communicate with the professor. The only time you would have the opportunity to ask a question about an assignment or a grade, would be after their lecture. Emailing was not the best option to reach them. ",Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,"that each week a chapter or two was covered in depth in class and homework for that week was assignment. Going in the following lecture, some homework problems were reviewed and a new chapter would be covered. I like this style of teaching because its a routine and you get use to the flow as the semester progresses.  ","Having a review day before an exam, so the students refresh their memory and become more confident when the exam arrives. A review session with the professor, is a great opportunity to encourage students to ask questions they previously didn't have or were too shy to ask before. I think the pressure of an upcoming exam gives students a push to ask question so that they are able perform better. ",Neutral,Somewhat disagree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,"when we solved question in class, showing the thought processes and understanding what the question. ", by correlating course material to real-life experiences and work experiences.,"Staying organized, completing assignments on time, and having study sessions with classmates.",Having a review session before an exam and made it easier to reach them through email. ,
Neutral,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Offered support hours,Long classes without breaks ,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very simple assignments and grading criteria,Less long classes,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Activities,Less long lectures ,,,
Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Follows up on taught lessons with students to make sure it was fully understood.,Professors are unclear on how to complete assignments and what they want to expect from it.,Neutral,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Neutral,A detailed syllabus about the class and assignments that will need to be completed. Scheduled due dates and test/exam dates,"Improved grading, more feedback needs to be provided, and grades need to be submitted sooner so I’m not questioning what my class grade is. ",Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Connecting and sharing thoughts and ideas with classmates. ,"More group work time, more hands-on projects ",Getting to know my professor and taking time to get the assistance I needed. Knowing that the professor truly cared about me understanding the concepts. ,"Grade quicker, it’s unsettling to not know what my grade in the class is throughout the whole semester.",
Neutral,Neutral,Neutral,Somewhat disagree,Neutral,Neutral,N/A,the professor wasn't very active with the office hours or responding to emails at all when students wanted help or clarification in certain areas of the homework or projects. ,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Somewhat agree,Strongly agree,Neutral,Somewhat disagree,Somewhat agree,how the canvas page was structured. All materials were easy to find. ,adding review problems. Giving examples with its answer key to understand the topic. ,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Neutral,Neutral,Somewhat agree,Somewhat disagree,N/A,classroom management strategies and connecting with students.,seeking help from my peers in class and learning their method of understanding the class throughout the semester.,N/A,N/A
Neutral,Neutral,Neutral,Somewhat agree,Neutral,Somewhat agree,,,Somewhat agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Homework was challenging. It made the exams that much easier to digest ,,Strongly agree,Somewhat disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,,,Do the homework ,Offer alternatives to turn in assignments. If i miss the day of class to sumbit assignments in person i get the automatic 0. ,
Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Hold office hours and help us with homework ,The fast pace of the classroom,Somewhat agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,The quizzes structure,The explanation and going over the homework ,Somewhat agree,Neutral,Somewhat disagree,Strongly agree,Strongly agree,Neutral,Somewhat disagree,Strongly agree,Neutral,Neutral,Neutral,The lectures,Give out the homework answers ,Going to office hours,Shared the homework solutions and steps,
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Ask if we had any questions before beginning to lecture.,Nothing,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The environment ,Nothing,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The examples ,Nothing,Studying ,Nothing ,
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Answer lots of questions.,Hard to read the board cause dull markers or chalk.,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,An organized syllabus and a required textbook for reference.,More structured class time and more examples done by the professor.,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,The teacher had great examples.,More real life examples.,The teacher caring about our learning and understanding.,Answer lots of questions.,N/A
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,something my professor did to make me feel supported was giving me advice on my career and helping me understand more of the career/field i plan to work in,something i didn’t like about the classroom atmosphere was that there were some times where certain topics moved a bit fast,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Neutral,Strongly agree,something i liked about the classroom was the help with homework and redoing tests and assignments,something i think could be improved would be providing written solutions to homework’s after they’re submitted to understand where we may have gotten things wrong,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,something i liked about this class was the re teaching of fundamental concepts which i did not understand in past classes,something i think could be improved would be to create a study space and or tutoring for students,something that helped me be successful in this class was the homework assignments,something i wish my professor did differently was providing the answers to work so we could review and study afterwards,
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Allowed me to ask questions and get feedback ,I don’t have anything bad,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The class work allowed me to understand the material ,All good ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Verbal examples of the subject ,All good ,Asking questions ,All good ,Great professor 
Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,N/A,There were no solutions given for the homework so I wasn’t sure if i was completing the work correctly.,Neutral,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Explained concepts well,N/A,Neutral,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat disagree,N/A,n/a,Practicing outside of class,Give solutions to homework,n/a
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,my instructor always made sure to break everything down in a way the whole class could properly understand,"Despite the great way the instructor explained certain things to the class, I did feel as if certain questions were glossed over in a more dismissive way when asking for a certain way to understand something",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,The organization of each section was on point and was made in a way where each topic is understandable,"I do wish there was a better way to help prepare me and the rest of us for uncertain topics for tests/quizzes, especially when there is a change in plans like being remote due to unforeseen circumstances",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,The class was made engaging due to the professor doing everything he could to directly connect with the class even with the small amount of resources given to him,Some more video examples and better breakdowns could make the class more engaging in my opinion to help energize some of the students to learn.,Do everything I could to understand what I am working with while in the classroom space,I believe a better breakdown on what to expect for quizzes and exams could have helped me prepare a little better for them even after all of the homework that was done,I hope for the best for my instructor and may he continue to be motivated to help other students learn more about and in the engineering field
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,provide help with Homework problems,,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,The grading was balanced,go over more example problems,,,,,,,,,,,,,,Watching Youtube Videos,Do more example problems ,
Neutral,Strongly agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,offer support outside of the class.,hostile environment from professor. Especially when the class did not understand NEW material.,Strongly agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,,,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,When she gave my team and I feedback on how to improve our communication skills.,"Slackers, i mean I would expect more passion especially since we're close to the finish line. But to each their own. ",Somewhat agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,High expectations.,"That spoonfeeding information is not wrong, in fact its good. We want to learn why and how things work. But that complaint is mostly for one class I wont mention. That was just my worst experience because we were expected to learn on our own. I get most definitely get the idea, but I have work. I am not privileged with bountiful time to research beyond whats expected in that class, when I could just learn it in the class. Most of the classes i have had no problem.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Allowing us time to think and solve the problem first and explain our process. Also appreciate competitive point based systems. For some reason it turns on my head when there is something on the line. I work well with pressure.,"Actually teach, sorry not all of the ECST is like this. Just a few bad experiences, the good shadows the bad by miles.",Tests. By that I mean grading systems based on tests. I hate homework but thats just me I dont want the system to change just for me. Actually... I do. I am worthy of such respect and honor. ,,
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Allow to ask questions whenever,"Too unstructured, no specific guidelines until the end, not written feedback",Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,Somewhat disagree,How there was time to work on projects and with others during class time,Set deadlines that break up the senior design project into managable pieces with a clear rubric ,Neutral,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,How we competed with other groups in design,"Have real world examples of specific criteria in advance to prepare how to design certain elementa of the senior design project, also make a design elective and a cad elective a requirement to the senior design course as it is difficult to design something with any prior design expertise or modeling software practice",Working together in groups,Provide a clear schedule of what is due when and the grading rubric of each with feedback given along the way so improvements can be made along the way,"Overall senior design was a great course just need more structure and guidance, requiring at least 1 design course and a cad elective course would make it easier to know at least basic aspects to designing a fully inclusive systemprior "
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,"Answering any question regarding the subject at hand, and making an effort to help students understand.",sometimes the topics were explained in a complex standpoint which made it more confusing to understand.,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,N/A.,tests/exams/quizzes shouldn't take a big toll on one's grade if you do well on the majority (80% of them) of the tests/exams/quizzes.,,,,,,,,,,,,,,,,
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,
Somewhat disagree,Strongly agree,Strongly agree,Neutral,Somewhat disagree,Somewhat agree,Show mistakes he has made that we might make too,,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,,,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat disagree,Neutral,Strongly agree,Somewhat agree,Neutral,Neutral,Neutral,,,,,We do not need group projects in so many classes. Yes working with others is a necessary skill but it is extremely difficult to find time to work with your group when you all have different schedules and multiple group projects for each class
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,allowing us to ask questions,the co-teaching arrangement,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,that we were able to work on examples together in class,the co-teaching. The teaching in class did not match the grading by the other professor,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,the warm-up questions,consistent feedback with grading,the professor passion for student to understand the subject,keep up to date with grading and feedback,"Overall, the class was well structured and I enjoyed the engaging teaching style. "
Somewhat agree,Strongly disagree,Neutral,Somewhat agree,Somewhat disagree,Somewhat disagree,Something my professor did to make me feel supported was make sure to teach us to his extent. ,Something I didn’t like about the classroom atmosphere was that my professor always had to give a negative answer when we asked what would be on exam . He made the class feel as if we weren’t smart enough or capable enough for his class . ,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Something I most liked about the class organization and structure was that the homework’s were clear.,"Something I think could be improved about the class organization and structure was more notes and more clear . The professor made it seem so messy and his handwriting was sloppy , the whole class struggled ",,,,,,,,,,,,,,,,
Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Asking us questions,How quiet it would be ,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,,,,
